Saami {prop} (Saami language)	 :: Samisk språk
saddle {n} (seat on an animal)	 :: [Bokmål] sal {m}, sadel {m}; [Nynorsk] sal {m}
saddle {v} (to put a saddle on)	 :: sale
saddlebag {n} (covered pouch)	 :: saltaske {f}, sykkelveske {f}
saddlemaker {n} (saddler) SEE: saddler	 ::
sadly {adv} (unfortunately) SEE: unfortunately	 ::
sadness {n} (state/emotion)	 :: sorg {m}, melankoli {m}
sad to say {adv} (unfortunately) SEE: unfortunately	 ::
safe {adj} (free from risk)	 :: sikker, trygg
safe {adj} (not in danger)	 :: sikker, trygg
safe {adj} (properly secured)	 :: sikker
safe {adj} (providing protection from danger)	 :: trygg
safe {n} (box in which valuables can be locked for safekeeping)	 :: safe {m}
safeguard {n} (something that serves as a guard or protection; a defense)	 :: sikring {m} {f}
safely {adv} (in a safe manner)	 :: trygt
safety {n}	 :: sikkerhet , trygghet , sikring {m}
safety pin {n} (pin, in the form of a clasp)	 :: [Bokmål] sikkerhetsnål {m} {f}
safety pin {n} (pin of a hand grenade)	 :: splint {m}
saffron {n} (colour)	 :: safran
saffron {n} (dye)	 :: [Bokmål] safran {m}; [Nynorsk] safran {m}
saffron {n} (plant)	 :: [Bokmål] safrankrokus {m}; [Nynorsk] safrankrokus {m}
saffron {n} (spice)	 :: [Bokmål] safran {m}; [Nynorsk] safran {m}
sage {adj} (wise)	 :: klok, vis
sage {n} (wise person)	 :: vismann {m}
Sagittarius {n} (Someone with a Sagittarius star sign)	 :: skytte {m}
Sagittarius {prop} (astrological sign)	 :: Skytten {m}
Sagittarius {prop} (constellation)	 :: Skytten
Sahara {prop} (desert)	 :: Sahara {m}
said and done {adj} (agreed to and accomplished or finished)	 :: sagt og gjort
Saigon {prop} (Ho Chi Minh City) SEE: Ho Chi Minh City	 ::
sail {n} (a piece of fabric attached to a boat)	 :: seil
sail {n} (a trip in a boat)	 :: seiltur
sail {n} (sailfish) SEE: sailfish	 ::
sail {v} (to move briskly and gracefully through the air)	 :: seile
sail {v} (to move briskly)	 :: seile
sail {v} (to ride in a boat, especially sailboat)	 :: seile
sailboat {n} (a boat propelled by sails)	 :: kutter, seilbåt
sailing {adj} (travelling by ship)	 :: seilende
sailing {n} (motion across water)	 :: seilas {n}, seiltur {m}
sailing ship {n} (type of ship)	 :: seilskip {n}
sailor {n} (worker on a ship)	 :: matros {m}, sjømann {m}, seiler {m}
saint {n} ((figuratively) a person with positive qualities)	 :: [Bokmål] helgen {m}; [Nynorsk] helgen {m}
saint {n} (one who is sanctified or made holy)	 :: [Bokmål] helgen {m}; [Nynorsk] helgen {m}
saint {n} (person proclaimed as saint)	 :: [Bokmål] helgen {m}, sankt; [Nynorsk] helgen {m}
saint {v} (formally recognize as a saint)	 :: kanonisere
Saint Helena {prop} (island, United Kingdom overseas territory in the Atlantic Ocean)	 :: Sankt Helena, St. Helena
Saint Kitts and Nevis {prop} (A country in the Caribbean)	 :: Saint Kitts og Nevis
Saint Lucia {prop} (country in the Caribbean)	 :: Saint Lucia
Saint Nicholas {prop} (Santa Claus) SEE: Santa Claus	 ::
saintpaulia {n} (African violet) SEE: African violet	 ::
Saint Petersburg {prop} (city)	 :: [Bokmål] St. Petersburg
Saint Vincent and the Grenadines {prop} (country in the Caribbean)	 :: Saint Vincent og Grenadinene
sake {n} (Japanese rice wine)	 :: sake {m}
sake {n}	 :: skyld {f}
sakura {n} (cherry blossom) SEE: cherry blossom	 ::
sakura {n} (cherry) SEE: cherry	 ::
sakura {n} (cherry tree) SEE: cherry tree	 ::
salad {n} (a food made primarily of a mixture of raw ingredients, typically vegetables)	 :: salat {m}
salary {n} (fixed amount of money paid on monthly or annual basis)	 :: lønn {c}
sale {n} (act of putting up for auction to the highest bidder)	 :: auksjon {m}
sale {n} (exchange of goods or services for currency or credit)	 :: [Bokmål] salg {n}
sale {n} (sale of goods at reduced prices)	 :: [Bokmål] salg {n}
salesman {n} (man whose job it is to sell things)	 :: selger {m}
saline {adj} (salty)	 :: saltholdig
saline {n} (solution)	 :: saltløsning {c}
salineness {n} (salineness) SEE: salinity	 ::
saliva {n} (liquid secreted into the mouth)	 :: spytt {n}
sally {n} (willow) SEE: willow	 ::
salmon {adj} (made with salmon)	 :: lakse-
salmon {n} (fish)	 :: laksfisk {m}
salmon trout {n} (rainbow trout) SEE: rainbow trout	 ::
salon {n}	 :: sal {m}
saloon {n} (sedan) SEE: sedan	 ::
salpinx {n} (Fallopian tube) SEE: Fallopian tube	 ::
salt {adj} (saline)	 :: saltholdig
salt {adj} (salty)	 :: salt
salt {n} (compound of an acid and a base)	 :: salt {n}
salt {n} (salt marsh) SEE: salt marsh	 ::
salt {n} (sodium chloride)	 :: salt {n}, bordsalt {n}
salt {v} (to add salt to)	 :: salte
salting {n} (salt marsh) SEE: salt marsh	 ::
saltire {n} (Saint Andrew's cross) SEE: Saint Andrew's cross	 ::
salt water {n} (any water containing dissolved salt)	 :: [Bokmål] saltvann {n}, saltvatn {n}; [Nynorsk] saltvatn {n}
salt water {n} (brine) SEE: brine	 ::
salty {adj}	 :: salt
salty dog {n} (seadog) SEE: seadog	 ::
salubrious {adj}	 :: helsebringende
salute {n}	 :: hilsen {m}, honnør {m}
salute {v}	 :: hilse
Salvadoran {adj} (of or pertaining to El Salvador)	 :: [Bokmål] salvadoransk; [Nynorsk] salvadoransk
Salvadoran {n} (a person from El Salvador)	 :: [Bokmål] salvadoraner {m}; [Nynorsk] salvadoran {m}, salvadoranar {m}
Salvadorian {adj} (Salvadoran) SEE: Salvadoran	 ::
Salvadorian {n} (Salvadoran) SEE: Salvadoran	 ::
salvage {n}	 :: berging {f} , bergingslønn {f}
salvage {v}	 :: redde, berge
salvation {n} (the process of being saved (religion))	 :: frelse {m}
Salvation Army {prop} (protestant Christian charitable and evangelical organization)	 :: [Bokmål] Frelsesarmeen; [Nynorsk] Frelsesarmeen
samarium {n} (chemical element)	 :: samarium
same {adj} (not different as regards self; identical)	 :: samme
same {adj} (similar, alike)	 :: lignende
same {pron} (something similar, something of the identical type)	 :: samme, lignende
same {pron} (the identical thing)	 :: samme
same-sex marriage {n} (gay marriage) SEE: gay marriage	 ::
same to you {phrase} (I wish to you what you have just wished to me)	 :: i like måte
Sami {adj} (relating to the Sami people or languages)	 :: [Bokmål] samisk; [Nynorsk] samisk
Sami {n} (member of indigenous people of Lapland)	 :: same {m}
Sami {prop} (Sami language)	 :: [Bokmål] samisk {m}; [Nynorsk] samisk {m}
samisen {n} (shamisen) SEE: shamisen	 ::
Samland {prop} (peninsula which juts into the Baltic)	 :: Samland
samlaw {n} (pedicab) SEE: pedicab	 ::
Samoa {prop} (Independent State of Samoa)	 :: Samoa
Samoan {adj} (of or pertaining to Samoa)	 :: [Bokmål] samoansk; [Nynorsk] samoansk
Samoan {n} (person)	 :: [Bokmål] samoaner {m}; [Nynorsk] samoanar {m}
Samoan {prop} (Samoan language)	 :: [Bokmål] samoansk {m}; [Nynorsk] samoansk {m}
Samogitian {adj} (Of, from, or pertaining to the region of Samogitia, or its people)	 :: samogitisk
Samogitian {prop} (Baltic language spoken in Samogitia)	 :: samogitisk
samogon {n} (moonshine) SEE: moonshine	 ::
Samos {prop}	 :: Samos
Samosata {prop} (city in Commagene)	 :: Samosata
samovar {n} (metal urn with a spigot, for boiling water for making tea)	 :: samovar
sampan {n} (Chinese boat)	 :: sampan
sample {n} (part taken for inspection)	 :: prøve {m} , sample {n} , eksempel {n}
sample {v} (to take or to test a sample or samples of)	 :: ta prøve av
Samson {prop} (Israelite judge)	 :: Samson
Samuel {prop} (male given name)	 :: Samuel
samurai {n} (feudal Japanese warrior)	 :: samurai {m}
sanctify {v} (to endorse)	 :: velsigne
sanctify {v} (to make holy)	 :: vigsle, helliggjøre
sanctify {v} (to purify)	 :: rense, tilgi
sanctimonious {adj} (making a show of being morally better than others, especially hypocritically)	 :: [Bokmål] skinnhellig; [Nynorsk] skinheilag
sanction {n} (approval, by an authority, that makes something valid)	 :: godkjennelse {m}, tillatelse {m}
sanction {n} (penalty, coercive measure)	 :: sanksjon {m}
sanction {n} (stipulation specifying the above)	 :: sanksjon {m}
sanction {v} (To give authorization or approval to)	 :: godkjenne, tillate
sanction {v} (To penalize a state, especially for violating international law)	 :: sanksjonere, straffe
sanctuary {n} (area set aside for protection)	 :: reservat {n}
sanctuary {n} (place of safety or protection)	 :: tilfluktssted {n}
sanctuary {n} (state of being protected)	 :: asyl {n}, fristed {n}
sand {n} (beach)	 :: sandstrand, strand
sand {n} (colour)	 :: sandfarget
sand {n} (finely ground rock)	 :: [Bokmål] sand {m}; [Nynorsk] sand {m}
sandal {n} (sandalwood) SEE: sandalwood	 ::
sandal {n} (type of footwear)	 :: [Bokmål] sandal {m}; [Nynorsk] sandal {m}
sandbag {n} (a bag filled with sand)	 :: [Bokmål] sandsekk {m}; [Nynorsk] sandsekk {m}
sandbank {n} (ridge of sand)	 :: [Bokmål] sandbanke {m}; [Nynorsk] sandbanke {m}
sandblast {v} (to spray with sand)	 :: sandblåse
sandbox {n}	 :: sandkasse {m}
sand dune {n} (mound of windblown sand)	 :: [Bokmål] sanddyne {m}; [Nynorsk] sanddyne {f}
sander {n} (machine for sanding)	 :: slipemaskin {f}
sanding sheet {n} (sheet of sanding paper)	 :: slipeark
sandpaper {n} (a sheet)	 :: sandpapir {n}, slipeark
sandpaper {n} (paper coated with abrasive material)	 :: [Bokmål] sandpapir {n}; [Nynorsk] sandpapir {n}
sandpaper {v} (to polish or grind a surface)	 :: slipe
sandpit {n} (children's play area)	 :: sandkasse {f}
sandstone {n} (sand/clay sedimentary rock)	 :: [Bokmål] sandstein {m}; [Nynorsk] sandstein {m}
sandwich {n} (open sandwich) SEE: open sandwich	 ::
sandwich {n} (snack consisting of two slices of bread)	 :: sandwich, smørbrød
sandy {adj} (sand-coloured)	 :: sandfarget
sane {adj} (mentally healthy)	 :: tilregnelig, fornuftig
sangfroid {n} (composure, self-possession or imperturbability)	 :: kaldblodig, uberørt
sanguine {adj} (anticipating the best)	 :: optimistisk; [Bokmål] sangvinsk; [Nynorsk] sangvinsk
sanguine {adj} (warm; ardent)	 :: [Bokmål] sangvinsk; [Nynorsk] sangvinsk
sanitary {adj} (hygienic)	 :: hygienisk
sanitary {adj} (of health)	 :: sanitær
sanitary towel {n} (pad of cotton) SEE: sanitary napkin	 ::
sanity {n}	 :: tilregnelighet, fornuft {m}
San Marino {prop} (capital city)	 :: San Marino
San Marino {prop} (Republic of San Marino)	 :: San Marino
sans {prep} (without)	 :: uten
Sanskrit {prop} (language)	 :: sanskrit
Santa {prop} (Santa Claus) SEE: Santa Claus	 ::
Santa Claus {prop} (A modern mythological figure)	 :: julenissen
sap {n} (juice of plant)	 :: sevje {f}
sap {n} (slang: saphead)	 :: tosk {m}
Sapphic {adj} (sapphic) SEE: sapphic	 ::
sapphire {adj} (colour)	 :: safirblå
sapphire {n} (gem)	 :: safir {m}
Sara {prop} (female given name) SEE: Sarah	 ::
Sarah {prop} ( given name from Hebrew)	 :: Sara
Sarah {prop} (Wife of Abraham)	 :: Sara
sarcasm {n} (derision, facetiousness)	 :: sarkasme
sardine {n} (fish)	 :: [Bokmål] sardin {m}; [Nynorsk] sardin {m}
sardonic {adj} (scornfully mocking)	 :: bitter
sarong {n} (garment made of printed cloth wrapped about the waist)	 :: sarong {m}
Satan {prop} (the Devil)	 :: Satan
satanical {adj} (satanic) SEE: satanic	 ::
Satanism {n} (a religion founded by Anton Szandor LaVey)	 :: satanisme {m}
Satanism {n} (devil worship)	 :: satanisme {m}
satchel {n} (bag or case with one or two shoulder straps)	 :: skulderveske, ransel
satellite {n} (man-made apparatus designed to be placed in orbit around a celestial body)	 :: satelitt
satellite dish {n} (parabolic antenna)	 :: [Bokmål] parabolantenne {m} {f}; [Nynorsk] parabolantenne {f}
satellite town {n} (self-contained town near a metropolis)	 :: [Bokmål] drabantby {m}; [Nynorsk] drabantby {m}
satiate {v}	 :: tilfredsstille, mette
satire {n} (literary technique)	 :: satire {m}
satiric {adj} (satirical) SEE: satirical	 ::
satirical {adj} (of or pertaining to satire)	 :: satirisk
satisfaction {n}	 :: tilfredsstillelse {m} , oppreisning
satisfactory {adj} (adequate or sufficient)	 :: [Bokmål] tilfredsstillende, tilstrekkelig, fyllestgjørende, fullgod
satisfied {adj} (in a state of satisfaction)	 :: tilfreds, fornøyd, mett
satisfy {v} (to meet needs, to fulfill)	 :: tilfredsstille
saturate {v} (to become penetrated or soaked)	 :: gjennomvæte
saturate {v} (to cause a substance to become inert by chemical combination with all that it can hold)	 :: mette
saturated {adj} (chemistry: having all available valence bonds filled)	 :: mettet
saturated {adj} (full; unable to hold or contain any more)	 :: mettet
saturated {adj} (of a solution: containing all the solute that can normally be dissolved)	 :: mettet
saturated {adj} (soaked or drenched with moisture)	 :: mettet
saturation {n}	 :: metning
Saturday {n} (day of the week)	 :: [Bokmål] lørdag {m}; [Nynorsk] laurdag {m}
Saturn {prop} (god)	 :: Saturn {m}
Saturn {prop} (planet)	 :: Saturn {m}
saturnism {n} (lead poisoning) SEE: plumbism	 ::
sauce {n} (liquid condiment)	 :: saus {m}
saucepan {n} (deep cooking vessel)	 :: kasserolle {m}, gryte {f}
saucer {n} (object shaped like a saucer)	 :: tallerken {m}
saucer {n} (small dish)	 :: asjett {m}
saucy {adj} (impertinent or disrespectful)	 :: frekk
saucy {adj} (impudently bold)	 :: frekk
saucy {adj} (mildly erotic)	 :: dristig
Saudi {adj} (pertaining to Saudi Arabia)	 :: saudiarabisk, saudisk; [Bokmål] saudisk, saudiarabisk; [Nynorsk] saudisk, saudiarabisk
Saudi {n} (person from Saudi Arabia)	 :: [Bokmål] saudier {m}, saudiaraber {m}; [Nynorsk] saudiar {m}, saudiarabar {m}
Saudi Arabia {prop} (country in the Middle East)	 :: Saudi-Arabia
Saudi Arabian {adj} (pertaining to Saudi Arabia)	 :: [Bokmål] saudisk, saudiarabisk; [Nynorsk] saudisk, saudiarabisk
Saudi Arabian {n} (person from Saudi Arabia)	 :: [Bokmål] saudier {m}, saudiaraber {m}; [Nynorsk] saudiar {m}, saudiarabar {m}
sauerkraut {n} (a dish made by fermenting finely chopped cabbage)	 :: [Bokmål] surkål {m}; [Nynorsk] surkål {m}
Saul {prop} (first king of Israel)	 :: Saul
Saul {prop} (original name of Paul)	 :: Saulus
sauna {n} (sauna room or house)	 :: badstue {f}
saunter {n} (a leisurely walk or stroll)	 :: spasertur {m}
saunter {v} (stroll or walk at a leisurely pace)	 :: slentre
sausage {n} (for slicing)	 :: pølse {c}
sausage {n} (small, uncooked)	 :: pølse {c}, sosiss {m}
savage {adj} (Barbaric, not civilized)	 :: barbarisk
savage {adj} (Brutal, vicious or merciless)	 :: brutal, grusom
savage {adj} (Fierce and ferocious)	 :: rasende
savage {adj} (Wild, not cultivated)	 :: vill
savage {n} (uncivilized or feral person)	 :: villmann {m}
savage {v} (To criticise vehemently)	 :: slakte
savagery {n} (Act of cruelty)	 :: grusomhet {m}
savagery {n} (Being savage)	 :: villskap {m}
savagery {n} (Savage or brutal behaviour)	 :: brutalitet {m}
savanna {n} (tropical grassland with scattered trees)	 :: savanne {m}
savannah {n} (savanna) SEE: savanna	 ::
save {n} (block that prevents an opponent from scoring)	 :: redning
save {prep} (except, with the exception of)	 :: unntatt
save {v} (accumulate money)	 :: spare
save {v} (economize)	 :: spare
save {v} (store for future use)	 :: spare, lagre
save {v} (to help someone to survive)	 :: redde
save {v} (to write a file to a disk)	 :: lagre
saving {n} (reduction in cost)	 :: besparelse {m}, økonomisering {c}
saving {n} (something saved)	 :: besparelser {m}
savior {n} (a person who rescues another from harm)	 :: redningsmann {m} ; [Bokmål] frelser {m}; [Nynorsk] frelsar {m}
savor {n} (a distinctive sensation)	 :: smak {m}, nytelse {m}
savor {n} (the specific taste or smell of something)	 :: aroma {m}, smak {m}, lukt {c}
savor {v} (to appreciate, enjoy or relish something)	 :: nyte
savor {v} (to possess a particular taste or smell, or a distinctive quality)	 :: smake
savour {v} (savour) SEE: savor	 ::
Savoy {n} (Savoy cabbage) SEE: Savoy cabbage	 ::
saw {n} (musical saw) SEE: musical saw	 ::
saw {n} (sawtooth wave) SEE: sawtooth	 ::
saw {n} (tool)	 :: [Bokmål] sag {m} {f}; [Nynorsk] sag {f}
sawmill {n} (machine, building or company)	 :: sagbruk {n}, sag {m} {f}
sawtooth {n} (sawtooth wave) SEE: sawtooth wave	 ::
Saxony {prop} (state)	 :: Sachsen
say {v} (to communicate verbally or in writing)	 :: [Bokmål] si; [Nynorsk] seia, seie
say {v} (to indicate in a written form)	 :: [Bokmål] si; [Nynorsk] seia, seie
say {v} (to pronounce)	 :: [Bokmål] si; [Nynorsk] seia, seie
say goodbye {v} (wish someone farewell upon their leaving)	 :: ta adjø, ta avskjed, ta farvel
scab {n} (mange) SEE: mange	 ::
scab {n} (scabies) SEE: scabies	 ::
scab {n} (strikebreaker) SEE: strikebreaker	 ::
scabies {n} (an infestation of parasitic mites, Sarcoptes scabiei)	 :: reveskabb
scaffold {n} (platform for executions)	 :: skafott {n}
scaffold {n} (structure made of scaffolding, for workers to stand on while working on a building)	 :: stillas {n}
scaffolding {n} (system of tubes or poles used to support people and material)	 :: stillas {n}
scale {n} (assigning a magnitude)	 :: [Bokmål] skala {m}; [Nynorsk] skala {m}
scale {n} (device)	 :: vekt {f}
scale {n} (keratin pieces covering the skin of certain animals)	 :: [Bokmål] skjell; [Nynorsk] skjell
scale {n} (limescale) SEE: limescale	 ::
scale {n} (ordered numerical sequence)	 :: [Bokmål] skala {m}; [Nynorsk] skala {m}
scale {n} (ratio of distances)	 :: [Bokmål] skala {m}; [Nynorsk] skala {m}
scale {n} (series of notes)	 :: [Bokmål] skala {m}; [Nynorsk] skala {m}
scale {n} (size or scope)	 :: [Bokmål] skala {m}; [Nynorsk] skala {m}
scales {n} (device for weighing goods for sale)	 :: vekt {f}
scalp {n} (bed of shellfish) SEE: scaup	 ::
scalpel {n} (small straight knife)	 :: skalpell {m}
scaly anteater {n} (pangolin) SEE: pangolin	 ::
scam {n} (fraudulent deal)	 :: bondefangeri
Scandinavia {prop} (Denmark, Norway, and Sweden)	 :: Skandinavia
Scandinavia {prop} (Scandinavian Peninsula) SEE: Scandinavian Peninsula	 ::
Scandinavian {adj} (of Scandinavia)	 :: skandinavisk
Scandinavian {n} (someone from Scandinavia)	 :: [Bokmål] skandinav {m}; [Nynorsk] skandinav {m}
Scandinavian Peninsula {prop} (peninsula in Northern Europe, see also: Scandinavia)	 :: Skandinavia
scandium {n} (chemical element)	 :: scandium
Scanian {adj} (of a Scanian, Scanian)	 :: skånsk
Scanian {adj} (of Scania)	 :: skånsk
Scanian {prop} (dialect)	 :: skånsk {m}
Scanian {prop} (person)	 :: skåning {m}
scapegoat {n} (a goat imbued with the sins of the people)	 :: syndebukk {m}
scapegoat {n} (someone punished for someone else's error(s))	 :: syndebukk {m}
scaphoid {n} (scaphoid bone) SEE: scaphoid bone	 ::
scapula {n} (large flat bone) SEE: shoulder blade	 ::
scar {n} (a permanent mark on the skin sometimes caused by the healing of a wound)	 :: arr {n}
scarecrow {n} (an effigy made to scare the birds away)	 :: [Bokmål] fugleskremsel {n}; [Nynorsk] fugleskremsel {n}, fugleskremsle {f}
scared {adj} (afraid, frightened)	 :: redd
scared shitless {adj} (terrified) SEE: scared stiff	 ::
scarf {n} (headscarf) SEE: headscarf	 ::
scarf {n} (long garment worn around the neck)	 :: skjerf {n}
scarlatina {n} (scarlet fever) SEE: scarlet fever	 ::
scarlet {adj} (colour)	 :: skarlagen
scarlet {n} (colour)	 :: skarlagen {n}
scarlet fever {n} (streptococcal infection)	 :: [Bokmål] skarlagensfeber {m}
scatter {v} (physics: to deflect)	 :: [Bokmål] spre; [Nynorsk] spreie
scatter {v} (to cause to separate)	 :: [Bokmål] spre; [Nynorsk] spreie
scatter {v} (to disperse)	 :: [Bokmål] spre; [Nynorsk] spreie
scatter {v} (to distribute loosely)	 :: strø
scatterbrained {adj} (absent-minded) SEE: absent-minded	 ::
scavenger {n} (animal feeding on decaying matter)	 :: [Bokmål] åtseleter {m}; [Nynorsk] åtseletar {m}
scene {n} (landscape, scenery) SEE: scenery	 ::
scene {n} ((theater) the stage) SEE: stage	 ::
sceptic {n} (skeptic) SEE: skeptic	 ::
schadenfreude {n} (malicious enjoyment derived from observing someone else's misfortune)	 :: skadefryd {m}
schedule {n} (time-based plan of events)	 :: timeplan {m}
Scheldt {prop} (river)	 :: Schelde; [Nynorsk] Schelde
schistous {adj} (schistose) SEE: schistose	 ::
schizophrenia {n} (illness)	 :: [Bokmål] schizofreni {m}; [Nynorsk] schizofreni {m}
schmo {n} (schmuck) SEE: schmuck	 ::
schnoz {n} (schnozzle) SEE: schnozzle	 ::
schnoz {n} (schnozzle) SEE: schnozzle	 ::
scholar's mate {n} (checkmate which occurs after the moves 1.e4 e5 2.Qh5 Nc6 3.Bc4 Nf6 4.Qxf7#)	 :: skolematten
school {n} (a department/institute at a college or university)	 :: fakultet {n}
school {n} (a group of fish)	 :: stim {m}
school {n} (an institution dedicated to teaching and learning)	 :: skole {m}
school {n} (a particular doctrine)	 :: skole {m}
school {v} (educate, teach, or train)	 :: skole, skolere, lære opp, utdanne
schoolbag {n} (satchel)	 :: [Bokmål] skoleveske {m} {f}; [Nynorsk] skoleveske {f}, skuleveske {f}
school band {n} (a musical ensemble associated with a school)	 :: skolekorps {n}
schoolie {n} (schoolteacher) SEE: teacher	 ::
school sores {n} (impetigo) SEE: impetigo	 ::
schoolteacher {n} (teacher) SEE: teacher	 ::
schooner {n} (sailing ship)	 :: skonnert
Schrödinger's cat {prop} (thought experiment)	 :: Schrödingers katt
science {n} (collective discipline of learning acquired through the scientific method)	 :: [Bokmål] vitenskap {m}; [Nynorsk] vitskap {m}
science {n} (knowledge gained through study or practice)	 :: kunskap {c}
science {n} (particular discipline or branch of learning)	 :: [Bokmål] vitenskap {m}; [Nynorsk] vitskap {m}
scientific {adj} (of or having to do with science)	 :: [Bokmål] vitenskapelig
scientifically {adv} (methodically) SEE: methodically	 ::
scientificity {n} (quality or state of being scientific)	 :: [Bokmål] vitenskaplighet {f} {m}; [Nynorsk] vitskaplegheit {f}
scientist {n} (one whose activities make use of scientific method)	 :: [Bokmål] forsker, vitenskapsmann; [Nynorsk] forskar, vitskapsmann
scion {n} (descendant)	 :: etterkommer {m}
scion {n} ((detached) shoot or twig)	 :: podekvist {m}, skudd {n}
scion {n} (heir to a throne)	 :: ætling {m}
scissor {v} (to cut using scissors)	 :: klippe
scissors {n} (tool used for cutting)	 :: [Bokmål] saks {m} {f}; [Nynorsk] saks {f}
sclerosis {n} (abnormal hardening of body tissues)	 :: [Bokmål] sklerose {m}; [Nynorsk] sklerose {m}
scold {v} (rebuke) SEE: rebuke	 ::
scooter {n} (a child's foot-operated vehicle)	 :: sparkesykkel {m}, sparksykkel {m}
scooter {n} (motor-scooter)	 :: moped {m}, scooter
score {n} (musical composition in a format indicating how the composition is to be played)	 :: partitur {n}
score {n} (number of points earned)	 :: poengsum {m}
score {n} (twenty)	 :: [Bokmål] snes {n}; [Nynorsk] sneis {f} {n}, tjug {n}
scorer {n} (scorekeeper) SEE: scorekeeper	 ::
Scorpio {prop} (astrological sign)	 :: Skorpionen {m}
Scorpio {prop} (constellation) SEE: Scorpius	 ::
scorpion {n} (any of various arachnids of the order Scorpiones)	 :: skorpion {m}
Scorpius {prop} (astrological sign) SEE: Scorpio	 ::
Scorpius {prop} (constellation)	 :: Skorpionen {m}
scorzonera {n} (black salsify) SEE: black salsify	 ::
Scot {n} (a person born in or native to Scotland)	 :: skotte {m}
Scotch {n} (uncountable: whisky made in Scotland)	 :: [Bokmål] skotsk whisky {m}; [Nynorsk] skotsk whisky {m}
Scotch crow {n} (hooded crow) SEE: hooded crow	 ::
Scotch tape {prop} (adhesive tape)	 :: selvklebende tape {f}
Scotch whisky {n} (alcoholic drink)	 :: [Bokmål] skotsk whisky {m}; [Nynorsk] skotsk whisky {m}
scotfree {adv} (scot-free) SEE: scot-free	 ::
Scotland {prop} (country in northwest Europe to the north of England)	 :: Skottland
Scots {adj} (Scottish)	 :: [Bokmål] skotsk; [Nynorsk] skotsk
Scots {prop} (Lowland Scots language)	 :: [Bokmål] skotsk {m}; [Nynorsk] skotsk {m}
Scots Gaelic {prop} (Scottish Gaelic) SEE: Scottish Gaelic	 ::
Scotsman {n} (a man from Scotland)	 :: skotte {m}
Scottish {adj} (of a person)	 :: [Bokmål] skotsk; [Nynorsk] skotsk
Scottish {adj} (of a thing or concept)	 :: [Bokmål] skotsk; [Nynorsk] skotsk
Scottish English {prop} (dialect of English spoken in Scotland)	 :: skotsk engelsk {m}
Scottish Gaelic {prop} (The Gaelic language of Scotland)	 :: skotsk-gælisk
scour {v} (to clean, polish, or wash something by scrubbing it vigorously)	 :: skrubbe, skure
scour {v} (to search an area thoroughly)	 :: finkjemme
scourge {n} (a persistent pest, illness, or source of trouble)	 :: [Bokmål] svøpe {m}
scourge {n} (a whip often of leather)	 :: [Bokmål] svøpe {m}
scouring pad {n} (abrasive pad) SEE: scourer	 ::
scrabble {v} (to scribble) SEE: scribble	 ::
scrambled egg {n} (scrambled eggs) SEE: scrambled eggs	 ::
scrambled eggs {n} (dish)	 :: eggerøre {f}
scrapheap {n} (junkyard) SEE: junkyard	 ::
scratch {n} (disruption or mark on a surface)	 :: risp {n}
scratch card {n} (lottery ticket)	 :: skrapelodd {n}
scratch together {v} (collect small amounts) SEE: scrape together	 ::
scrawny {adj} (Thin, malnourished and weak)	 :: tynn, radmager, skrinn/skrant, skranglet
scream {v} (to make the sound of a scream)	 :: skrike, hyle
screech owl {n} (Megascops)	 :: lundugle
